GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,,"489,00",,,,,,,,,,-,,,,,,,,"489,00",,,,,,,,,"1.164,83",,,,,,,,
GUARATINGA-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.161,04",,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,,"448,25",,,,,,,,,,-,,,,,,,,"448,25",,,,,,,,,"1.067,78",,,,,,,,
IACU-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
IBICARAI-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.204,05",,,,,,,,
IBICUI-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"989,03",,,,,,,,
IBIQUERA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.118,05",,,,,,,,
IBIRAPUA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"860,03",,,,,,,,
IBIRATAIA-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.161,04",,,,,,,,
ICHU-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"989,03",,,,,,,,
IGUAI-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.161,04",,,,,,,,
ILHEUS-BA,,,,,BA,,,,,"815,00",,,,,,,,,,-,,,,,,,,"815,00",,,,,,,,,"1.720,07",,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,,"2.703,61",,,,,,,,,,"1.087,88",,,,,,,,"3.791,49",,,,,,,,,"8.966,05",,,,,,,,
IPECAETA-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
