MARCIONILIO SOUZA-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,,,"128.034,78",,,,,,,,"50.335,67",,,,,,,"178.370,45",,,,,,,,"827.653,32",,,,,,,,
MIGUEL CALMON-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
MILAGRES-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
MIRANTE-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
MONTE SANTO-BA,,,BA,,,,,"95,27",,,,,,,,-,,,,,,,"95,27",,,,,,,,"412,40",,,,,,,,
MUNDO NOVO-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
MURITIBA-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
MUTUIPE-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
NAZARE-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
NORDESTINA-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
NOVA CANAA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
