ITAQUARA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
"ITARANTIM-BA
ITATIM-BA",,,"BA
BA",,,"62,21
57,02",,,,,,,,"-
-",,,,,,"62,21
57,02",,,,,,,,"313,91
287,75",,,,,,,,
ITIRUCU-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
ITIUBA-BA,,,BA,,,"75,17",,,,,,,,-,,,,,,"75,17",,,,,,,,"379,31",,,,,,,,
JACOBINA-BA,,,BA,,,"90,72",,,,,,,,-,,,,,,"90,72",,,,,,,,"457,79",,,,,,,,
JAGUAQUARA-BA,,,BA,,,"80,35",,,,,,,,-,,,,,,"80,35",,,,,,,,"405,47",,,,,,,,
JAGUARIPE-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
JANDAIRA-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
JEQUIE-BA,,,BA,,,"103,68",,,,,,,,-,,,,,,"103,68",,,,,,,,"523,19",,,,,,,,
JEREMOABO-BA,,,BA,,,"75,17",,,,,,,,-,,,,,,"75,17",,,,,,,,"379,31",,,,,,,,
"JIQUIRICA-BA
JITAUNA-BA",,,"BA
BA",,,"57,02
67,39",,,,,,,,"-
-",,,,,,"57,02
67,39",,,,,,,,"287,75
340,06",,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
LAJE-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
LAJEDINHO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
LAMARAO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,"98,50",,,,,,,,-,,,,,,"98,50",,,,,,,,"497,04",,,,,,,,
MACAJUBA-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
MACARANI-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
"MADRE DE DEUS-BA
MAIQUINIQUE-BA",,,"BA
BA",,,"957.459,45
51,84",,,,,,,,"705.280,06
-",,,,,,"1.662.739,51
51,84",,,,,,,,"6.485.408,61
261,59",,,,,,,,
MAIRI-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
MANOEL VITORINO-BA,,,BA,,,"62,21",,,,,,,,-,,,,,,"62,21",,,,,,,,"313,91",,,,,,,,
MARACAS-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
MARAGOGIPE-BA,,,BA,,,"80,35",,,,,,,,-,,,,,,"80,35",,,,,,,,"405,47",,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
MATA DE SÃO JOAO-BA,,,BA,,,"167.721,87",,,,,,,,"74.646,45",,,,,,"242.368,32",,,,,,,,"939.190,54",,,,,,,,
MIGUEL CALMON-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
MILAGRES-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
"MIRANTE-BA
MONTE SANTO-BA",,,"BA
BA",,,"57,02
82,95",,,,,,,,"-
-",,,,,,"57,02
82,95",,,,,,,,"287,75
418,55",,,,,,,,
MUNDO NOVO-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
MUNIZ  FERREIRA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
MURITIBA-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
MUTUIPE-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
NAZARE-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
NORDESTINA-BA,,,BA,,,"54,43",,,,,,,,-,,,,,,"54,43",,,,,,,,"274,67",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA CANAA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
NOVA FATIMA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
NOVA ITARANA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
