JAGUAQUARA-BA,,,,BA,,,"89,49",,,,,,,,-,,,,,,"89,49",,,,,,,"325,12",,,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
JEQUIE-BA,,,,BA,,,"115,47",,,,,,,,-,,,,,,"115,47",,,,,,,"419,51",,,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,"83,71",,,,,,,,-,,,,,,"83,71",,,,,,,"304,14",,,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
JITAUNA-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
LAJE-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
LAMARAO-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,"109,69",,,,,,,,-,,,,,,"109,69",,,,,,,"398,54",,,,,,,,,,,,
MACAJUBA-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
MACARANI-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,"919.713,53",,,,,,,,"887.499,36",,,,,,"1.807.212,89",,,,,,,"4.822.669,10",,,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
MAIRI-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
