MUNIZ FERREIRA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
MURITIBA-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
MUTUIPE-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
NAZARE-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
NORDESTINA-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
NOVA CANAA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
NOVA FATIMA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
NOVA ITARANA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
NOVA SOURE-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
NOVO TRIUNFO-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
OLINDINA -BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
OURICANGAS-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
OUROLANDIA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
PARIPIRANGA-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
PAULO AFONSO-BA,,,BA,,,,"142,95",,,,,,,,-,,,,,,"142,95",,,,,"281,24",,,,,,,
PE DE SERRA-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
PEDRAO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
PINTADAS-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
PIRITIBA-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
