GANDU-BA,,,,,,,,BA,,"1.518,39",,,,,,-,,,,,,"1.518,39",,,,,,,"10.771,56",,,,,,,,,
GAVIAO-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
GLORIA-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
GONGOGI-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.623,73",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.621,84",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARATINGA-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.923,14",,,,,,,,,
HELIOPOLIS-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.855,37",,,,,,,,,
IACU-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.306,35",,,,,,,,,
IBICARAI-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.306,35",,,,,,,,,
IBICUI-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.814,36",,,,,,,,,
IBIQUERA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
IBIRAPITANGA-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
IBIRAPUA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
IBIRATAIA-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.923,14",,,,,,,,,
ICHU-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
IGRAPIUNA-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
