JANDAIRA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
JEQUIE-BA,,,BA,,,,"149,50",,,,,,-,,,,,"149,50",,,,,"149,50",,,,,,,,,
JEREMOABO-BA,,,BA,,,,"108,39",,,,,,-,,,,,"108,39",,,,,"108,39",,,,,,,,,
JIQUIRICA-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
JITAUNA-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
LAJE-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
LAJEDINHO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
LAMARAO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,,"142,03",,,,,,-,,,,,"142,03",,,,,"142,03",,,,,,,,,
MACAJUBA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
MACARANI-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
MADRE DE DEUS-BA,,,BA,,,,"1.199.098,74",,,,,,"465.665,06",,,,,"1.664.763,80",,,,,"1.664.763,80",,,,,,,,,
MAIQUINIQUE-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
MAIRI-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
MANOEL VITORINO-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
MARACAS-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
MARAGOGIPE-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,,"155.500,92",,,,,,"61.293,40",,,,,"216.794,32",,,,,"216.794,32",,,,,,,,,
MIGUEL CALMON-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
MILAGRES-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
