CONCEICAO DA FEIRA-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"132,92",,,,,,-,,,,,,,"132,92",,,,,,,,"691,27",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
CONDE-BA,,,,,BA,,,,"175,80",,,,,,"45,84",,,,,,,"221,64",,,,,,,,"1.148,35",,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"128,89",,,,,,-,,,,,,,"128,89",,,,,,,,"670,31",,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"124,86",,,,,,-,,,,,,,"124,86",,,,,,,,"674,70",,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"116,81",,,,,,-,,,,,,,"116,81",,,,,,,,"607,48",,,,,,,,
ENTRERIOS-BA,,,,,BA,,,,"206.141,32",,,,,,"123.652,55",,,,,,,"329.793,87",,,,,,,,"2.167.623,66",,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"380.356,86",,,,,,"217.318,65",,,,,,,"597.675,51",,,,,,,,"3.893.601,00",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"128,89",,,,,,-,,,,,,,"128,89",,,,,,,,"670,31",,,,,,,,
FATIMA-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"161,11",,,,,,-,,,,,,,"161,11",,,,,,,,"837,89",,,,,,,,
GAVIAO-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
GLORIA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
IACU-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ICHU-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"3.606,06",,,,,,"1.781,57",,,,,,,"5.387,63",,,,,,,,"5.861,38",,,,,,,,
IPECAETA-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
IPIRA-BA,,,,,BA,,,,"132,92",,,,,,-,,,,,,,"132,92",,,,,,,,"691,27",,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
IRARA-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
ITABERABA-BA,,,,,BA,,,,"132,92",,,,,,-,,,,,,,"132,92",,,,,,,,"691,27",,,,,,,,
ITAGI-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
ITANAGRA-BA,,,,,BA,,,,"81.914,11",,,,,,"12.146,92",,,,,,,"94.061,03",,,,,,,,"567.920,92",,,,,,,,
ITAPARICA-BA,,,,,BA,,,,"2.786,66",,,,,,"146.086,48",,,,,,,"148.873,14",,,,,,,,"809.410,11",,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,"132,92",,,,,,-,,,,,,,"132,92",,,,,,,,"691,27",,,,,,,,
ITAPICURU-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
ITAQUARA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
ITARANTIM-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
ITATIM-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
ITIRUCU-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
ITIUBA-BA,,,,,BA,,,,"116,81",,,,,,-,,,,,,,"116,81",,,,,,,,"607,48",,,,,,,,
JACOBINA-BA,,,,,BA,,,,"140,97",,,,,,-,,,,,,,"140,97",,,,,,,,"733,16",,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,"124,86",,,,,,-,,,,,,,"124,86",,,,,,,,"649,35",,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
JANDAIRA-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
JEQUIE-BA,,,,,BA,,,,"161,11",,,,,,-,,,,,,,"161,11",,,,,,,,"837,89",,,,,,,,
JEREMOABO-BA,,,,,BA,,,,"116,81",,,,,,-,,,,,,,"116,81",,,,,,,,"607,48",,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
JITAUNA-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
LAJE-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
LAREDO DO TABOCAL-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
LAMARAO-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,"153,06",,,,,,-,,,,,,,"153,06",,,,,,,,"796,01",,,,,,,,
MACAJUBA-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
MACARANI-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,"1.324.500,73",,,,,,"665.241,38",,,,,,,"1.989.742,11",,,,,,,,"10.039.746,14",,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
MAIRI-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
MARACAS-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,"124,86",,,,,,-,,,,,,,"124,86",,,,,,,,"649,35",,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
MATA D ESAO JOAO-BA,,,,,BA,,,,"156.570,42",,,,,,"67.348,00",,,,,,,"223.918,42",,,,,,,,"1.320.982,45",,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
MILAGRES-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
MIRANTE-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,"128,89",,,,,,-,,,,,,,"128,89",,,,,,,,"670,31",,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
MURITIBA-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
MUTUIPE-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
NAZARE-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
NORDESTINA-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,"80,55",,,,,,-,,,,,,,"80,55",,,,,,,,"418,93",,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
