JACOBINA-BA,,,BA,,,,"86,66",,,,,,,,-,,,,,,"86,66",,,,,"160,44",,,,,,,,
JAGUAQUARA-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
JAGUARIPE-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
JANDAIRA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
JEQUIE-BA,,,BA,,,,"99,04",,,,,,,,-,,,,,,"99,04",,,,,"183,36",,,,,,,,
JEREMOABO-BA,,,BA,,,,"71,80",,,,,,,,-,,,,,,"71,80",,,,,"132,93",,,,,,,,
JIQUIRICA-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
JITAUNA-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
LAJE-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
LAJEDINHO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
LAMARAO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,,"94,08",,,,,,,,-,,,,,,"94,08",,,,,"174,18",,,,,,,,
MACAJUBA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
MACARANI-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
MADRE DE DEUS-BA,,,BA,,,,"162.928,26",,,,,,,,"320.024,61",,,,,,"482.952,87",,,,,"980.102,81",,,,,,,,
MAIQUINIQUE-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
MAIRI-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
MANOEL VITORINO-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
MARACAS-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
MARAGOGIPE-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,,"81.375,37",,,,,,,,"36.648,48",,,,,,"118.023,85",,,,,"228.061,17",,,,,,,,
MIGUEL CALMON-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
MILAGRES-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
MIRANTE-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
MONTE SANTO-BA,,,BA,,,,"79,23",,,,,,,,-,,,,,,"79,23",,,,,"146,68",,,,,,,,
MUNDO NOVO-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
MURITIBA-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
MUTUIPE-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
NAZARE-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
NORDESTINA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
NOVA CANAA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
NOVA FATIMA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
NOVA ITARANA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
NOVA SOURE-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
NOVO TRIUNFO-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
OLINDINA-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
OURICANGAS-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
OUROLANDIA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
PARIPIRANGA-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
PAULO AFONSO-BA,,,BA,,,,"91,61",,,,,,,,-,,,,,,"91,61",,,,,"169,60",,,,,,,,
PE DE SERRA-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
PEDRAO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
PINTADAS-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
PIRITIBA-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
PLANALTINO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
PLANALTO-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
POCOES-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
POJUCA-BA,,,BA,,,,"252.562,60",,,,,,,,"169.132,05",,,,,,"421.694,65",,,,,"832.029,05",,,,,,,,
QUEIMADAS-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
QUIJINGUE -BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
QUIXABEIRA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
RAFAEL JAMBEIRO-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
RETIROLANDIA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
RIACHAO DO JACUIPE-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
RIBEIRA DO AMPARO-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
RIBEIRA DO POMBAL-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
RIBEIRAO DO LARGO-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
RIO REAL-BA,,,BA,,,,"71,80",,,,,,,,-,,,,,,"71,80",,,,,"132,93",,,,,,,,
RUY BARBOSA-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
SALINAS DA MARGARIDA-BA,,,BA,,,,"1.440,07",,,,,,,,"2.116,49",,,,,,"3.556,56",,,,,"6.600,96",,,,,,,,
SALVADOR-BA,,,BA,,,,"2.742,99",,,,,,,,"72.762,74",,,,,,"75.505,73",,,,,"154.161,69",,,,,,,,
SANTA BARBARA-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
SANTA BRIGIDA-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
SANTA INES-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
SANTA TERESINHA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
SANTALUZ-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
SANTANOPOLIS-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
