GONGOGI-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,,BA,,"1.530,06",,,,,,,"0,01",,,,,,,,"1.530,07",,,,,,,"17.582,62",,,,,,,,
GUARATINGA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
HELIOPOLIS-BA,,,,,,,,,,BA,,"1.346,45",,,,,,,"0,01",,,,,,,,"1.346,46",,,,,,,"15.472,71",,,,,,,,
IACU-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
IBICARAI-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
IBICUI-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
IBIQUERA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
IBIRAPITANGA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
IBIRAPUA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
IBIRATAIA-BA,,,,,,,,,,BA,,"1.530,06",,,,,,,"0,01",,,,,,,,"1.530,07",,,,,,,"17.582,62",,,,,,,,
ICHU-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
IGRAPIUNA-BA,,,,,,,,,,BA,,"1.346,45",,,,,,,"0,01",,,,,,,,"1.346,46",,,,,,,"15.472,71",,,,,,,,
IGUAI-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
