MATA DE SAO JOAO-BA,,,,,BA,,,,"47.266,06",,,,,,"19.165,07",,,,,,"66.431,13",,,,,,,"475.479,90",,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,"28,69",,,,,,-,,,,,,"28,69",,,,,,,"187,42",,,,,,,,,
MILAGRES-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
MIRANTE-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
MURITIBA-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
NAZARE-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
NOVO TRIUNFO-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
OLINDINA-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
OURICANGAS-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
OUROLANDIA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
PARIPIRANGA-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
PAULO AFONSO-BA,,,,,BA,,,,"35,62",,,,,,-,,,,,,"35,62",,,,,,,"232,70",,,,,,,,,
PE DE SERRA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
PEDRAO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
PEDRO ALEXANDRE-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
PINTADAS-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
PIRITIBA-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
PLANALTINO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
PLANALTO-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
POCOES-BA,,,,,BA,,,,"29,68",,,,,,-,,,,,,"29,68",,,,,,,"193,76",,,,,,,,,
POJUCA-BA,,,,,BA,,,,"172.721,28",,,,,,"145.936,59",,,,,,"318.657,87",,,,,,,"2.248.020,33",,,,,,,,,
QUEIMADAS-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIJINGUE-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
QUIXABEIRA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
