DIAS D'AVILA-BA,,,,,BA,,,,"40,28",,,,,,,,-,,,,,,"40,28",,,,,,,,,,"132,85",,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"142.775,07",,,,,,,,"79.280,22",,,,,,"222.055,29",,,,,,,,,,"712.135,99",,,,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"173.694,42",,,,,,,,"99.226,06",,,,,,"272.920,48",,,,,,,,,,"881.130,02",,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
FATIMA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"53,71",,,,,,,,-,,,,,,"53,71",,,,,,,,,,"177,13",,,,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
GLORIA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
IACU-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ICHU-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
IPIRA-BA,,,,,BA,,,,"44,31",,,,,,,,-,,,,,,"44,31",,,,,,,,,,"146,13",,,,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
IRARA-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"44,31",,,,,,,,-,,,,,,"44,31",,,,,,,,,,"146,13",,,,,,,,,,,,
ITAGI-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,"26.856,93",,,,,,,,"4.483,89",,,,,,"31.340,82",,,,,,,,,,"101.065,97",,,,,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,"901,03",,,,,,,,"1.251,08",,,,,,"2.152,11",,,,,,,,,,"7.098,13",,,,,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
ITATIM-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
ITIUBA-BA,,,,,BA,,,,"38,94",,,,,,,,-,,,,,,"38,94",,,,,,,,,,"128,42",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACOBINA-BA,,,,,BA,,,,"48,34",,,,,,,,-,,,,,,"48,34",,,,,,,,,,"159,42",,,,,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,"41,62",,,,,,,,-,,,,,,"41,62",,,,,,,,,,"137,27",,,,,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
JEQUIE-BA,,,,,BA,,,,"53,71",,,,,,,,-,,,,,,"53,71",,,,,,,,,,"177,13",,,,,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,"38,94",,,,,,,,-,,,,,,"38,94",,,,,,,,,,"128,42",,,,,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
JITAUNA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
LAJE-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
LAMARAO-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,"49,68",,,,,,,,-,,,,,,"49,68",,,,,,,,,,"163,84",,,,,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
MACARANI-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,"158.383,02",,,,,,,,"188.142,53",,,,,,"346.525,55",,,,,,,,,,"1.115.595,94",,,,,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
MAIRI-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
MARACAS-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,"38,94",,,,,,,,-,,,,,,"38,94",,,,,,,,,,"128,42",,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
MATA DE SAO JOAO-BA,,,,,BA,,,,"82.575,99",,,,,,,,"35.112,87",,,,,,"117.688,86",,,,,,,,,,"348.408,21",,,,,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,"38,94",,,,,,,,-,,,,,,"38,94",,,,,,,,,,"128,42",,,,,,,,,,,,
MILAGRES-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
MIRANTE-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
MURITIBA-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
NAZARE-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
NOVO TRIUNFO-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
OLINDINA-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
OURICANGAS-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
OUROLANDIA-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
