JAGUARIPE-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
JANDAIRA-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
JEQUIE-BA,,,,,,BA,,,"134,17",,,,,,,-,,,,,,,"134,17",,,,,"268,87",,,,,,,,,
JEREMOABO-BA,,,,,,BA,,,"97,27",,,,,,,-,,,,,,,"97,27",,,,,"194,93",,,,,,,,,
JIQUIRICA-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
JITAUNA-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
LAJE-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
LAJEDINHO-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
LAMARAO-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
LAURO DE FREITAS-BA,,,,,,BA,,,"127,46",,,,,,,-,,,,,,,"127,46",,,,,"255,43",,,,,,,,,
MACAJUBA-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
MACARANI-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
MADRE DE DEUS-BA,,,,,,BA,,,"866.295,56",,,,,,,"569.855,22",,,,,,,"1.436.150,78",,,,,"2.973.528,56",,,,,,,,,
MAIQUINIQUE-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
MAIRI-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
MANOEL VITORINO-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
MARACAS-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
MARAGOGIPE-BA,,,,,,BA,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,"208,37",,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
MATA DE SAO JOAO-BA,,,,,,BA,,,"148.450,92",,,,,,,"62.774,66",,,,,,,"211.225,58",,,,,"440.073,77",,,,,,,,,
MIGUEL CALMON-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
MILAGRES-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
MIRANTE-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
MONTE SANTO-BA,,,,,,BA,,,"107,34",,,,,,,-,,,,,,,"107,34",,,,,"215,10",,,,,,,,,
MUNDO NOVO-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
MUNIZ FERREIRA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
