MACARANI-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,,"193.191,17",,,,,,,,"360.464,90",,,,,,"553.656,07",,,,,,"2.976.810,26",,,,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
MAIRI-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
MARACAS-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,,"44,68",,,,,,,,-,,,,,,"44,68",,,,,,"294,83",,,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
MATA DE SÃO JOAO-BA,,,,BA,,,,,"97.397,07",,,,,,,,"42.356,16",,,,,,"139.753,23",,,,,,"849.797,94",,,,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,,"44,68",,,,,,,,-,,,,,,"44,68",,,,,,"294,83",,,,,,,,,,,,,
MILAGRES-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
MIRANTE-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
MURITIBA-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
MUTUIPE-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
NAZARE-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
NORDESTINA-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
OLINDINA-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
OURICANGAS-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
