MARAGOGIPE-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,,"124.958,46",,,,,,"51.047,78",,,,,"176.006,24",,,,,,"1.315.555,82",,,,,,,,,,,
MIGUEL CALMON-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
MILAGRES-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
MIRANTE-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
MONTE SANTO-BA,,,BA,,,,"79,09",,,,,,-,,,,,"79,09",,,,,,"681,87",,,,,,,,,,,
MUNDO NOVO-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
MURITIBA-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
MUTUIPE-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
NAZARE-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
NORDESTINA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
NOVA CANAA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
NOVA FATIMA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
NOVA ITARANA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
NOVA SOURE-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
NOVO TRIUNFO-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
OLINDINA-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
OURICANGAS-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
OUROLANDIA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
PARIPIRANGA-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
PAULO AFONSO-BA,,,BA,,,,"91,45",,,,,,-,,,,,"91,45",,,,,,"788,94",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE DE SERRA-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,30",,,,,,,,,,,
PEDRAO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,57",,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,90",,,,,,,,,,,
PINTADAS-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,47",,,,,,,,,,,
PIRITIBA-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,60",,,,,,,,,,,
PLANALTINO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,57",,,,,,,,,,,
PLANALTO-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,39",,,,,,,,,,,
POCOES-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,29",,,,,,,,,,,
POJUCA-BA,,,BA,,,,"376.333,12",,,,,,"346.205,42",,,,,"722.538,54",,,,,,"4.978.024,50",,,,,,,,,,,
QUEIMADAS-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,16",,,,,,,,,,,
QUIJINGUE-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,16",,,,,,,,,,,
QUIXABEIRA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,57",,,,,,,,,,,
RAFAEL JAMBEIRO-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,39",,,,,,,,,,,
RETIROLANDIA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,47",,,,,,,,,,,
RIACHAO DO JACUIPE-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,99",,,,,,,,,,,
RIBEIRA DO AMPARO-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,30",,,,,,,,,,,
