IRARA-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
ITABELA-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
ITABERABA-BA,,,,,,,,BA,,"1.801,32",,,,,,,,-,,,,,,"1.801,32",,,,,,,"16.551,66",,,,,,,,
ITABUNA-BA,,,,,,,,BA,,"2.183,41",,,,,,,,-,,,,,,"2.183,41",,,,,,,"20.062,62",,,,,,,,
ITACARE-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
ITAGI-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
ITAGIBA-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
ITAGIMIRIM-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ITAJU DO COLONIA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ITAJUIPE-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
